Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
67,George Hill\hillge01,PG,23,SAS,78,2276,14.7,.572,.255,.321,2.2,8.2,5.3,15.5,1.6,0.8,10.7,19.0,,4.1,2.6,6.7,.142,,1.3,0.2,1.5,2.0
68,Rudy Gay\gayru01,SF,23,MEM,80,3175,16.2,.535,.157,.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,,4.0,2.4,6.4,.096,,0.7,-0.2,0.4,1.9
69,Grant Hill\hillgr01,SF,37,PHO,81,2430,14.0,.561,.114,.357,3.6,16.3,10.3,11.2,1.2,1.0,11.7,16.8,,3.7,1.8,5.5,.109,,0.3,0.9,1.1,1.9
70,Brandon Jennings\jennibr01,PG,20,MIL,82,2671,14.5,.475,.319,.225,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,,0.3,3.9,4.2,.075,,0.6,0.2,0.9,1.9
71,O.J. Mayo\mayooj01,SG,22,MEM,82,3113,14.6,.551,.300,.221,2.3,9.4,5.8,12.2,1.6,0.4,11.9,20.7,,4.3,1.4,5.6,.087,,1.7,-1.3,0.4,1.9
72,Thabo Sefolosha\sefolth01,SG,25,OKC,82,2348,9.8,.509,.297,.202,3.8,14.8,9.5,8.9,2.1,1.5,15.8,10.9,,0.6,3.4,4.0,.082,,-1.6,2.8,1.2,1.9
73,Chris Andersen\anderch01,PF,31,DEN,76,1695,15.8,.631,.012,.940,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,,3.2,2.7,5.9,.166,,-1.1,3.3,2.1,1.8
74,Jamal Crawford\crawfja01,SG,29,ATL,79,2460,18.4,.573,.386,.285,1.6,8.0,4.8,16.1,1.3,0.4,9.9,25.8,,5.6,1.7,7.3,.143,,3.5,-2.7,0.8,1.8
75,Mike Miller\millemi01,SG,29,WAS,54,1805,13.9,.623,.395,.196,3.5,18.2,10.7,18.4,1.1,0.5,19.6,14.7,,2.5,1.4,3.9,.104,,1.4,0.7,2.0,1.8
76,Derrick Rose\rosede01,PG,21,CHI,78,2871,18.6,.532,.044,.246,2.6,8.7,5.7,30.3,1.0,0.7,12.5,27.2,,3.5,2.5,6.0,.100,,1.7,-1.3,0.5,1.8
77,Jason Terry\terryja01,SG,32,DAL,77,2540,16.5,.552,.358,.257,0.9,5.4,3.2,18.8,1.9,0.5,8.6,23.0,,4.4,2.1,6.5,.123,,2.5,-1.7,0.8,1.8
78,Andrew Bynum\bynuman01,C,22,LAL,65,1977,20.2,.608,.001,.379,10.1,20.4,15.3,5.8,0.9,3.6,12.5,20.8,,4.4,3.4,7.8,.188,,0.2,1.3,1.4,1.7
79,Kevin Love\loveke01,PF,21,MIN,60,1714,20.7,.549,.164,.427,14.5,28.6,21.5,12.9,1.3,1.0,13.2,22.4,,3.4,1.5,4.9,.138,,1.8,0.1,1.9,1.7
80,Hedo Turkoglu\turkohe01,SF,30,TOR,74,2272,13.3,.540,.429,.335,2.2,15.2,8.9,19.5,1.2,1.1,13.9,18.1,,2.6,0.8,3.4,.071,,1.5,-0.5,1.0,1.7
81,Aaron Brooks\brookaa01,PG,25,HOU,82,2919,16.0,.549,.394,.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,,3.9,1.6,5.5,.091,,2.7,-2.5,0.2,1.6
82,Danilo Gallinari\gallida01,SF,21,NYK,81,2747,14.8,.575,.526,.331,2.6,14.0,8.2,7.6,1.4,1.6,9.4,19.3,,4.1,1.5,5.6,.098,,1.3,-1.0,0.2,1.6
83,Brendan Haywood\haywobr01,C,30,TOT,77,2355,16.1,.588,.002,.499,13.5,21.5,17.5,2.8,0.6,5.1,14.2,13.5,,3.7,3.0,6.7,.137,,-1.0,1.8,0.7,1.6
84,Luc Mbah a Moute\mbahalu01,PF,23,MIL,73,1866,11.8,.530,.046,.360,9.9,14.6,12.2,6.5,1.7,1.6,14.1,12.1,,1.8,3.0,4.7,.122,,-1.6,2.9,1.4,1.6
85,Anthony Parker\parkean01,SG,34,CLE,81,2289,9.9,.576,.549,.200,1.6,10.0,6.0,9.9,1.4,0.6,12.1,12.0,,2.3,2.6,4.9,.103,,0.2,0.6,0.8,1.6
86,Amar'e Stoudemire\stoudam01,PF,27,PHO,82,2838,22.6,.615,.005,.500,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,,8.2,2.5,10.7,.181,,1.6,-1.3,0.3,1.6
87,Andray Blatche\blatcan01,PF,23,WAS,81,2256,17.6,.519,.044,.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,,0.8,2.6,3.4,.073,,-0.6,1.2,0.6,1.5
88,Richard Jefferson\jefferi01,SF,29,SAS,81,2520,13.1,.551,.241,.370,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,,3.0,3.0,6.0,.113,,-0.3,0.6,0.3,1.5
