Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP,VORP_Max
anderry01,33.0,13.12121212121212,4.666666666666667,4.96969696969697,,9.05,0.95,0.5151515151515151,0.5454545454545454,2.2424242424242418,,33.0,18.700000000000006,0.483,0.396,0.8335,2.0,0.0,,,,,,,3.3
andersh01,29.75,9.914682981090099,1.4268261030774936,4.06960511679644,,4.975,2.725,1.7881071560993698,0.324990730441231,2.847710418984056,2.4688820912124583,26.525,12.775,0.495,0.28500000000000003,0.626,4.0,0.0,,,,,,,2.0
anderwi01,26.75,9.007799671592776,1.6952380952380952,2.316612984716433,,3.525,3.55,1.1276430466085638,0.9970601237842616,2.473263231021852,2.0975874700012627,22.825,11.1,0.4975,0.309,0.7475,4.0,0.0,,,,,,,2.4
anslemi01,32.0,9.665689149560118,0.08064516129032258,3.7502443792766376,,7.6,0.6000000000000001,0.5205278592375366,0.13416422287390029,1.7954545454545454,2.7869012707722387,29.4,13.825,0.58325,0.125,0.67675,4.0,0.25,,,,,,,0.4
anthoca01,35.0,17.485714285714284,4.742857142857143,6.8,,10.0,2.2,1.5714285714285714,0.8571428571428571,2.2,2.2,36.4,22.2,0.453,0.337,0.706,1.0,1.0,11.4,,3.15,30.5,33.5,7.0,4.2
anthogr01,34.5,9.964392551892553,3.299786324786325,4.025503663003663,,3.15,6.725,2.3519078144078143,0.32954822954822954,2.6383394383394383,2.4957875457875462,30.65,12.750000000000002,0.4385,0.3785,0.7125,4.0,0.0,,,,,,,1.7
anthojo01,34.0,2.520488230165649,0.0,1.1839581517000872,,3.4,0.30000000000000004,0.3426329555361813,2.24716652136007,,,15.85,3.55,0.5485,,0.5435,2.0,0.0,,,,,,,1.1
applike01,35.5,7.984385015267367,2.9074955207308144,3.622703270497388,0.4446501122971711,3.025,3.25,1.0572538925480102,0.4578872990637697,2.0759349685820268,2.429034812123048,29.700000000000006,10.6,0.4325,0.33575000000000005,0.773,4.0,0.0,,,,,,,-0.1
araujra01,31.0,10.477083333333333,0.671875,4.519791666666666,,9.5,1.2,1.4197916666666668,0.6510416666666667,,,27.450000000000006,15.2,0.5654999999999999,0.27,0.6819999999999999,2.0,0.0,,,,,,,-0.2
archiro01,32.5,3.434252450980392,0.007352941176470587,3.1559742647058826,,4.075,0.8,0.4970588235294118,0.6070465686274511,1.5481924019607844,2.9733762254901963,16.025,6.050000000000002,0.53975,0.0,0.68175,4.0,0.75,,,,,,,-0.2
arenagi01,35.0,12.101307189542485,4.217320261437909,4.037581699346405,,3.85,2.2,1.9468954248366013,0.22957516339869286,2.6821895424836604,2.3594771241830066,30.55,15.8,0.466,0.354,0.7370000000000001,2.0,1.0,,,3.25,31.5,36.0,12.0,6.4
arizatr01,25.0,10.04,3.04,4.52,,6.5,2.1,1.68,0.44,,,31.6,11.6,0.426,0.237,0.504,1.0,0.0,11.63,,3.29,29.5,32.0,8.0,3.6
armstbj01,32.5,8.920134109678353,3.065756302521008,3.6545638945233274,,1.95,3.9,1.144398815560707,0.06918329831932774,1.917246359750797,1.1873868081715444,24.55,12.825,0.4925,0.4563333333333333,0.8452500000000001,4.0,0.25,,,,,,,1.4
armstbr01,32.5,15.175996204933586,5.620018975332068,3.3088235294117645,,3.25,1.5,1.6831119544592033,0.2144212523719165,1.9454459203036047,2.5915559772296017,30.5,18.25,0.43799999999999994,0.392,0.8220000000000001,2.0,0.0,10.91,,3.2,30.0,37.0,6.0,-0.1
armstda01,26.0,9.285493827160494,2.473765432098765,4.851851851851851,,3.933333333333333,3.8,,,,,26.96666666666667,14.366666666666665,0.516,0.3953333333333333,0.7806666666666667,3.0,0.0,,,,,,,4.2
armsthi01,32.75,3.057571778711485,0.021848739495798318,2.0862745098039217,,3.9,0.575,0.3276260504201681,1.4456932773109243,,,15.0,4.675,0.5429999999999999,0.25,0.52625,4.0,0.0,12.28,,3.53,28.5,31.5,13.0,0.1
arroyca01,25.0,12.453761755485893,5.17758620689655,4.2334639498432605,,2.975,4.65,,,,,32.725,15.85,0.44675,0.34825,0.6927500000000001,4.0,0.0,,,,,,,0.0
artesro01,34.5,10.883023648648651,3.7195945945945943,3.565033783783784,,6.3,3.05,1.8395270270270268,1.1570945945945947,2.8378378378378377,2.2972972972972974,34.2,13.05,0.442,0.35050000000000003,0.585,2.0,0.0,,,,,,,3.7
arthuda01,39.0,8.714473684210526,0.21578947368421053,2.7276315789473684,,5.5,0.6000000000000001,0.6842105263157895,1.3993421052631578,1.875,,21.85,11.3,0.5405,0.08349999999999999,0.6739999999999999,2.0,1.0,12.18,,3.14,28.5,30.0,12.0,0.6
askewvi01,34.333333333333336,8.936974789915967,1.2352941176470589,3.248459383753501,,5.0,3.8666666666666667,1.1277310924369748,0.1361344537815126,2.2529411764705887,1.6019607843137254,33.333333333333336,11.433333333333335,0.4946666666666666,0.381,0.745,3.0,0.0,,,,,,,1.1
askinke01,32.0,5.108909370199694,2.0538810483870966,1.6897729454685102,,4.300000000000002,0.6499999999999999,0.6662514400921659,0.4232910906298003,1.1212005568356376,2.3970334101382487,23.025,6.574999999999998,0.4565,0.3855,0.647,4.0,0.5,,,,,,,2.2
atkinch01,27.75,11.49057285307285,6.012932437932438,3.921108058608058,,3.0,4.625,1.0275997150997151,0.09896723646723646,3.0482804232804237,1.8742368742368745,34.0,14.45,0.407,0.35975,0.72625,4.0,0.0,,,,,,,1.1
