PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Daniel Orton,C,12.32,-,3.39,24,30.5,13
Darington Hobson,SG-SF,11.68,-,3.25,29,34,-
DeMarcus Cousins,C,11.4,-,3.55,23.5,27.5,-
Derrick Caracter,PF,12.78,-,3.61,25,30.5,22
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14
Devin Ebanks,SF,11.69,-,3.44,23.5,32,6
Dexter Pittman,PF-C,-,-,-,-,-,-
Dominique Jones,SG,10.88,-,3.31,26,32.5,19
Ed Davis,PF,11.7,-,3.21,31,36,-
Ekpe Udoh,PF,11.15,-,3.29,31,33.5,10
Eric Bledsoe,PG,-,-,-,-,-,9
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9
Gani Lawal,PF,11.61,-,3.24,27,31.5,20
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10
Greg Monroe,PF-C,12.1,-,3.35,25,29,15
Greivis Vasquez,PG-SG,-,-,-,-,-,-
Hassan Whiteside,C-PF,11.83,-,3.54,27,31.5,12
James Anderson,SF,11.86,-,3.19,30,35.5,14
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3
Jerome Jordan,C,-,-,-,-,-,-
John Wall,PG,10.84,-,3.14,30,39,-
Jon Scheyer,PG-SG,-,-,-,-,-,-
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7
Keith Gallon,PF-C,13.44,-,3.7,23.5,28.5,14
Lance Stephenson,SG,11.39,-,3.38,27,33,10
Larry Sanders,PF-C,12.49,-,3.27,25.5,28,7
Lazar Hayward,SG-SF,10.87,-,3.31,31,36,15
Luke Babbitt,SF-PF,10.98,-,3.4,29.5,37.5,15
Luke Harangody,PF,11.83,-,3.41,24,28.5,23
Manny Harris,SG,-,-,-,-,-,11
Mikhail Torrance,PG,11.43,-,3.17,23,32,8
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17
Paul George,SF,-,-,-,-,-,4
Ryan Richards,PF,11.33,-,3.37,25,28.5,4
Sherron Collins,PG,12.31,-,3.24,27.5,33,-
Solomon Alabi,C,13.2,-,3.68,22.5,26,10
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6
Sylven Landesberg,SG,11.59,-,3.36,28,32,8
Terrico White,SG-PG,11.38,-,3.15,31,40,10
Trevor Booker,PF,11.15,-,3.1,31,36,22
Wesley Johnson,SF,11.43,-,3.14,32,37,16
Willie Warren,SG-PG,11.21,-,3.5,23,31.5,10
Xavier Henry,SG,11.1,-,3.18,28.5,36.5,8
A.J. Price,PG,10.99,-,3.22,26,31,11
Austin Daye,SF-PF,12.11,-,3.55,25,28,0
Blake Griffin,PF,10.95,-,3.28,32,35.5,22
Byron Mullens,C,11.1,-,3.45,28.5,32.5,10
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15
Danny Green,SG-SF,11.3,-,3.3,29,33,15
Dante Cunningham,PF,11.18,-,3.26,28,35,18
Darren Collison,PG,10.45,-,3.1,30.5,33.5,9
DeJuan Blair,PF,11.5,-,3.45,26,33,18
DeMar DeRozan,SG-SF,11.88,-,3.31,29,38.5,5
DeMarre Carroll,PF-SF,-,-,-,-,-,-
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20
Dionte Christmas,SG,10.83,-,3.21,27,33.5,3
Earl Clark,SF-PF,11.17,-,3.35,28.5,33,5
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35,8
Hasheem Thabeet,C,-,-,-,-,-,-
Jack McClinton,SG-PG,10.44,-,3.21,30,36.5,13
James Harden,SG,11.1,-,3.13,31.5,37,17
James Johnson,SF-PF,11.21,-,3.23,30.5,35,18
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16
Jeff Ayres,PF,11.98,-,3.14,31,35,15
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10
Jermaine Taylor,SG,11.54,-,3.32,34,37.5,16
